Teacher,Gradebook,Department,Student ID,Student Name,Grade Level,Team,Counselor,MP2 Average,MP2 Letter Grade,FG Average,FG Letter Grade
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, MTRF, Per. 3 (FY)",Fine Arts,6,"Musk, Elon",11,,"Howard, Jenna",90.14%,A-,91.86,A-
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, MTWR, Per. 1 (FY)",Fine Arts,103,"Knowles, Beyoncé",11,,"Casamento, Steven P",92.86%,A,92.31,A-
"Dinkey, John T","AR6411/3 - Ceramics & Sculpture I, MTWF, Per. 2 (FY)",Fine Arts,45,"Kardashian, Kourtney",11,,"Petzold, Alexa",85.53%,B,88.54,B+
"Dinkey, John T","AR6412/1 - Studio Art I, MTWF, Per. 6 (FY)",Fine Arts,190,"Cooper, Anderson",11,,"Schneider, Cristina",94.57%,A,96.35,A
"Scerbo, Nicholas","AR6700/1 - AP Art History, MTWF, Per. 6 (FY)",Fine Arts,17,"James, Lebron",11,,"Howard, Jenna",94.7%,A,92.1,A-
"Scerbo, Nicholas","AR6700/1 - AP Art History, MTWF, Per. 6 (FY)",Fine Arts,65,"Guetta, David",11,,"Petzold, Alexa",97.9%,A+,97.2,A
"Scerbo, Nicholas","AR6700/1 - AP Art History, MTWF, Per. 6 (FY)",Fine Arts,116,"Gervais, Ricky",11,,"Casamento, Steven P",96.3%,A,93.4,A
"Scerbo, Nicholas","AR6700/1 - AP Art History, MTWF, Per. 6 (FY)",Fine Arts,165,"Bastos, Rafinha",11,,"Schneider, Cristina",94.6%,A,95,A
"Dinkey, John T","AR6703/1 - AP 2D Art & Design, MTWR, Per. 5 (FY)",Fine Arts,1,"Bieber, Justin",11,,"Howard, Jenna",92.43%,A-,93.74,A
"Dinkey, John T","AR6703/1 - AP 2D Art & Design, MTWR, Per. 5 (FY)",Fine Arts,55,"Mathers, Marshall",11,,"Petzold, Alexa",85.73%,B,86.92,B+
"Dinkey, John T","AR6703/1 - AP 2D Art & Design, MTWR, Per. 5 (FY)",Fine Arts,183,"Dixit-Nene, Madhuri",11,,"Schneider, Cristina",95.51%,A,96.21,A
"Dinkey, John T","AR6705/1 - Honors Advanced Ceramics & Sculpture II, MTRF, Per. 3 (FY)",Fine Arts,192,"Jonas, Joe",11,,"Schneider, Cristina",84.79%,B,88.75,B+
"Dinkey, John T","AR6706/1 - Honors Advanced Studio Art II, MTWF, Per. 6 (FY)",Fine Arts,171,"Brand, Russell",11,,"Schneider, Cristina",91.95%,A-,93.53,A
"Haveron, Owen","BU2401/3 - Financial Literacy, MTWR, Per. 1 (S2)",Business,24,"Winfrey, Oprah",11,,"Howard, Jenna",90.45%,A-,90.45,A-
"Haveron, Owen","BU2401/3 - Financial Literacy, MTWR, Per. 1 (S2)",Business,38,"Tate, Andrew",11,,"Petzold, Alexa",91.94%,A-,91.94,A-
"Haveron, Owen","BU2401/5 - Financial Literacy, MWRF, Per. 4 (S2)",Business,5,"Swift, Taylor",11,,"Howard, Jenna",95.22%,A,95.22,A
"Haveron, Owen","BU2401/5 - Financial Literacy, MWRF, Per. 4 (S2)",Business,44,"Mendes, Shawn",11,,"Petzold, Alexa",93.43%,A,93.43,A
"Haveron, Owen","BU2401/5 - Financial Literacy, MWRF, Per. 4 (S2)",Business,186,"Hemmings, Luke",11,,"Schneider, Cristina",91.64%,A-,91.64,A-
"Haveron, Owen","BU2401/5 - Financial Literacy, MWRF, Per. 4 (S2)",Business,195,"Justice, Victoria",11,,"Schneider, Cristina",93.13%,A,93.13,A
"Rose, Jonathan","BU2402/2 - Blended Financial Literacy, MTWRF, Per. 0 (S2)",Business,12,"Neymar, Rinaldo",11,,"Howard, Jenna",100%,P,100,P
"Rose, Jonathan","BU2402/2 - Blended Financial Literacy, MTWRF, Per. 0 (S2)",Business,30,"Tendulkar, Sachin",11,,"Howard, Jenna",100%,P,100,P
"Rose, Jonathan","BU2402/2 - Blended Financial Literacy, MTWRF, Per. 0 (S2)",Business,42,"Padukone, Deepika",11,,"Petzold, Alexa",100%,P,100,P
"Rose, Jonathan","BU2402/2 - Blended Financial Literacy, MTWRF, Per. 0 (S2)",Business,63,"Piqué, Gerard",11,,"Petzold, Alexa",100%,P,100,P
"Rose, Jonathan","BU2402/2 - Blended Financial Literacy, MTWRF, Per. 0 (S2)",Business,83,"Rooney, Wayne",11,,"Petzold, Alexa",100%,P,100,P
"Rose, Jonathan","BU2402/2 - Blended Financial Literacy, MTWRF, Per. 0 (S2)",Business,90,"Hanks, Tom",11,,"Casamento, Steven P",100%,P,100,P
"Rose, Jonathan","BU2402/2 - Blended Financial Literacy, MTWRF, Per. 0 (S2)",Business,153,"Mix, Little",11,,"Donnelly, Marin",100%,P,100,P
"Rose, Jonathan","BU2402/2 - Blended Financial Literacy, MTWRF, Per. 0 (S2)",Business,154,"Beckham, Victoria",11,,"Donnelly, Marin",97.78%,P,97.78,P
"Rose, Jonathan","BU2402/2 - Blended Financial Literacy, MTWRF, Per. 0 (S2)",Business,180,"Arjona, Ricardo",11,,"Schneider, Cristina",100%,P,100,P
"Rose, Jonathan","BU2402/2 - Blended Financial Literacy, MTWRF, Per. 0 (S2)",Business,183,"Dixit-Nene, Madhuri",11,,"Schneider, Cristina",97.78%,P,97.78,P
"Rose, Jonathan","BU2402/2 - Blended Financial Literacy, MTWRF, Per. 0 (S2)",Business,204,"Rogen, Seth",11,,"Schneider, Cristina",100%,P,100,P
"Gamgort, Corin C","BU3403/1 - Principles of Business, MTWF, Per. 2 (S2)",Business,11,"Gates, Bill",11,,"Howard, Jenna",78.43%,C+,78.43,C+
"Gamgort, Corin C","BU3403/1 - Principles of Business, MTWF, Per. 2 (S2)",Business,56,"Carey, Mariah",11,,"Petzold, Alexa",99.51%,A+,99.51,A+
"Gamgort, Corin C","BU3403/1 - Principles of Business, MTWF, Per. 2 (S2)",Business,128,"Jonas, Nick",11,,"Donnelly, Marin",97.06%,A,97.06,A
"Gamgort, Corin C","BU3403/1 - Principles of Business, MTWF, Per. 2 (S2)",Business,146,"Puyol, Carles",11,,"Donnelly, Marin",79.9%,B-,79.9,B-
"Gamgort, Corin C","BU3403/1 - Principles of Business, MTWF, Per. 2 (S2)",Business,162,"Werneck, Tata",11,,"Donnelly, Marin",89.71%,A-,89.71,A-
"Gamgort, Corin C","BU3403/1 - Principles of Business, MTWF, Per. 2 (S2)",Business,170,"Mill, Meek",11,,"Casamento, Steven P",69.89%,C-,69.89,C-
"Gamgort, Corin C","BU3403/1 - Principles of Business, MTWF, Per. 2 (S2)",Business,196,"Kroos, Toni",11,,"Schneider, Cristina",93.63%,A,93.63,A
"Gamgort, Corin C","BU3403/2 - Principles of Business, MTWF, Per. 6 (S2)",Business,31,"Hart, Kevin",11,,"Howard, Jenna",73.13%,C,73.13,C
"Gamgort, Corin C","BU3403/2 - Principles of Business, MTWF, Per. 6 (S2)",Business,51,"Tosh, Daniel",11,,"Petzold, Alexa",91.79%,A-,91.79,A-
"Gamgort, Corin C","BU3403/2 - Principles of Business, MTWF, Per. 6 (S2)",Business,82,"Falcao, Radamel",11,,"Petzold, Alexa",93.14%,A,93.14,A
"Gamgort, Corin C","BU3403/2 - Principles of Business, MTWF, Per. 6 (S2)",Business,126,"Levine, Adam",11,,"Casamento, Steven P",81.38%,B-,81.38,B-
"Gamgort, Corin C","BU3403/2 - Principles of Business, MTWF, Per. 6 (S2)",Business,136,"Kapoor, Sonam",11,,"Donnelly, Marin",86.76%,B+,86.76,B+
"Gamgort, Corin C","BU3403/3 - Principles of Business, MWRF, Per. 4 (S2)",Business,28,"Jenner, Kylie",11,,"Howard, Jenna",90.35%,A-,90.35,A-
"Gamgort, Corin C","BU3403/3 - Principles of Business, MWRF, Per. 4 (S2)",Business,57,"Obama, Michelle",11,,"Petzold, Alexa",79.81%,B-,79.81,B-
"Gamgort, Corin C","BU3403/3 - Principles of Business, MWRF, Per. 4 (S2)",Business,93,"Curry, Stephen",11,,"Casamento, Steven P",98.07%,A+,98.07,A+
"Gamgort, Corin C","BU3403/3 - Principles of Business, MWRF, Per. 4 (S2)",Business,108,"Yankee, Daddy",11,,"Casamento, Steven P",91.85%,A-,91.85,A-
"Gamgort, Corin C","BU3403/3 - Principles of Business, MWRF, Per. 4 (S2)",Business,181,"Marquezine, Bruna",11,,"Schneider, Cristina",91.33%,A-,91.33,A-
"Gamgort, Corin C","BU3403/3 - Principles of Business, MWRF, Per. 4 (S2)",Business,192,"Jonas, Joe",11,,"Schneider, Cristina",88.2%,B+,88.2,B+
"Gamgort, Corin C","BU3404/2 - Marketing, MTWR, Per. 5 (S2)",Business,2,"Perry, Katy",11,,"Howard, Jenna",99.21%,A+,99.21,A+
"Gamgort, Corin C","BU3404/2 - Marketing, MTWR, Per. 5 (S2)",Business,8,"Kardashian, Kim",11,,"Howard, Jenna",96.41%,A,96.41,A
"Gamgort, Corin C","BU3404/2 - Marketing, MTWR, Per. 5 (S2)",Business,66,"Dogg, Snoop",11,,"Petzold, Alexa",87.4%,B+,87.4,B+
"Gamgort, Corin C","BU3404/2 - Marketing, MTWR, Per. 5 (S2)",Business,68,"Shelton, Blake",11,,"Petzold, Alexa",98.82%,A+,98.82,A+
"Gamgort, Corin C","BU3404/2 - Marketing, MTWR, Per. 5 (S2)",Business,101,"Ajram, Nancy",11,,"Casamento, Steven P",92.52%,A,92.52,A
"Gamgort, Corin C","BU3404/2 - Marketing, MTWR, Per. 5 (S2)",Business,120,"Neto, Felipe",11,,"Casamento, Steven P",99.21%,A+,99.21,A+
"Gamgort, Corin C","BU3404/2 - Marketing, MTWR, Per. 5 (S2)",Business,138,"Federer, Roger",11,,"Donnelly, Marin",81.93%,B-,81.93,B-
"Gamgort, Corin C","BU3404/2 - Marketing, MTWR, Per. 5 (S2)",Business,173,"Corden, James",11,,"Schneider, Cristina",82.09%,B-,82.09,B-
"Gamgort, Corin C","BU3405/1 - Entrepreneurship, MTRF, Per. 7 (FY)",Business,8,"Kardashian, Kim",11,,"Howard, Jenna",98.43%,A+,98.97,A+
"Gamgort, Corin C","BU3405/1 - Entrepreneurship, MTRF, Per. 7 (FY)",Business,15,"Shakira, Shakira",11,,"Howard, Jenna",96.85%,A,94.35,A
"Gamgort, Corin C","BU3405/1 - Entrepreneurship, MTRF, Per. 7 (FY)",Business,87,"Suarez, Luis",11,,"Casamento, Steven P",93.07%,A,91.34,A-
"Gamgort, Corin C","BU3405/1 - Entrepreneurship, MTRF, Per. 7 (FY)",Business,206,"Marvel, Captain",11,,"Schneider, Cristina",93.56%,A,93.12,A
"Gamgort, Corin C","BU3405/2 - Entrepreneurship, MWRF, Per. 8 (FY)",Business,107,"Efron, Zac",11,,"Casamento, Steven P",84.49%,B,87.69,B+
"Gamgort, Corin C","BU3405/2 - Entrepreneurship, MWRF, Per. 8 (FY)",Business,140,"Akhtar, Farhan",11,,"Donnelly, Marin",72.41%,C-,74.36,C
"Gamgort, Corin C","BU3405/2 - Entrepreneurship, MWRF, Per. 8 (FY)",Business,158,"Alonso, Xabi",11,,"Donnelly, Marin",90.1%,A-,89.28,B+
"Gamgort, Corin C","BU3405/2 - Entrepreneurship, MWRF, Per. 8 (FY)",Business,167,"Anthony, Marc",11,,"Schneider, Cristina",96.53%,A,93,A
"Gamgort, Corin C","BU3405/2 - Entrepreneurship, MWRF, Per. 8 (FY)",Business,185,"Tinelli, Marcelo",11,,"Schneider, Cristina",99.5%,A+,97.78,A+
"Volk, Christopher","BU8110/2 - LLD Elements of Financial Literacy, MTWR, Per. 5 (FY)",Business,3,"Fenti, Rihanna",11,,"Howard, Jenna",80%,B-,79.6,B-
"Volk, Christopher","BU8110/2 - LLD Elements of Financial Literacy, MTWR, Per. 5 (FY)",Business,20,"Cyrus, Miley",11,,"Howard, Jenna",89.6%,A-,88.86,B+
"Volk, Christopher","BU8110/2 - LLD Elements of Financial Literacy, MTWR, Per. 5 (FY)",Business,104,"Coelho, Paulo",11,,"Casamento, Steven P",73.79%,C,77.57,C+
"Volk, Christopher","BU8110/2 - LLD Elements of Financial Literacy, MTWR, Per. 5 (FY)",Business,124,"Kapoor, Shraddha",11,,"Casamento, Steven P",100%,A+,99.19,A+
"Volk, Christopher","BU8110/2 - LLD Elements of Financial Literacy, MTWR, Per. 5 (FY)",Business,134,"Cena, John",11,,"Donnelly, Marin",89.15%,B+,92.55,A
"Volk, Christopher","BU8110/2 - LLD Elements of Financial Literacy, MTWR, Per. 5 (FY)",Business,148,"Silverman, Sarah",11,,"Donnelly, Marin",99.55%,A+,98.29,A+
"Volk, Christopher","BU8110/2 - LLD Elements of Financial Literacy, MTWR, Per. 5 (FY)",Business,156,"Hosny, Mustafa",11,,"Donnelly, Marin",92.32%,A-,91.3,A-
Haveron / Sandt,"CC5401/1 - American Studies, MTWFR, Per. 2,3 (FY)",English,18,"Kohli, Virat",11,,"Howard, Jenna",87.15%,B+,84,B
Haveron / Sandt,"CC5401/1 - American Studies, MTWFR, Per. 2,3 (FY)",English,23,"Khan, Salman",11,,"Howard, Jenna",86.39%,B,85.84,B
Haveron / Sandt,"CC5401/1 - American Studies, MTWFR, Per. 2,3 (FY)",English,31,"Hart, Kevin",11,,"Howard, Jenna",74.66%,C,79.47,C+
Haveron / Sandt,"CC5401/1 - American Studies, MTWFR, Per. 2,3 (FY)",English,52,"Rahman, Bill",11,,"Petzold, Alexa",76.06%,C,76.76,C+
Haveron / Sandt,"CC5401/1 - American Studies, MTWFR, Per. 2,3 (FY)",English,63,"Piqué, Gerard",11,,"Petzold, Alexa",88.73%,B+,87.18,B+
Haveron / Sandt,"CC5401/1 - American Studies, MTWFR, Per. 2,3 (FY)",English,172,"Maher, Bill",11,,"Schneider, Cristina",78.98%,C+,74.99,C
Haveron / Sandt,"CC5401/1 - American Studies, MTWFR, Per. 2,3 (FY)",English,176,"Williams, Serena",11,,"Schneider, Cristina",89.86%,A-,88.57,B+
Haveron / Sandt,"CC5401/1 - American Studies, MTWFR, Per. 2,3 (FY)",English,177,"Williams, Pharrell",11,,"Schneider, Cristina",85.22%,B,85.36,B
Haveron / Sandt,"CC5401/1 - American Studies, MTWFR, Per. 2,3 (FY)",English,178,"Maddow, Rachel",11,,"Schneider, Cristina",87.89%,B+,82.9,B
Haveron / Sandt,"CC5401/1 - American Studies, MTWFR, Per. 2,3 (FY)",English,179,"Balvin, Jack",11,,"Schneider, Cristina",87.45%,B+,85.6,B
Haveron / Sandt,"CC5401/1 - American Studies, MTWFR, Per. 2,3 (FY)",English,181,"Marquezine, Bruna",11,,"Schneider, Cristina",87.39%,B+,85.74,B
Haveron / Sandt,"CC5401/1 - American Studies, MTWFR, Per. 2,3 (FY)",English,184,"Sheen, Charlie",11,,"Schneider, Cristina",83.97%,B,86.17,B
Haveron / Sandt,"CC5401/1 - American Studies, MTWFR, Per. 2,3 (FY)",English,198,"Nolan, Chris",11,,"Schneider, Cristina",68.58%,D+,69.98,C-
Haveron / Sandt,"CC5600/1 - Honors American Studies, MTWFR, Per. 2,3 (FY)",English,5,"Swift, Taylor",11,,"Howard, Jenna",87.43%,B+,86.94,B+
Haveron / Sandt,"CC5600/1 - Honors American Studies, MTWFR, Per. 2,3 (FY)",English,17,"James, Lebron",11,,"Howard, Jenna",93.12%,A,94,A
Haveron / Sandt,"CC5600/1 - Honors American Studies, MTWFR, Per. 2,3 (FY)",English,46,"Özil, Mesut",11,,"Petzold, Alexa",93.81%,A,93.2,A
Haveron / Sandt,"CC5600/1 - Honors American Studies, MTWFR, Per. 2,3 (FY)",English,49,"Prancer, Pitbull",11,,"Petzold, Alexa",91.79%,A-,89.26,B+
Haveron / Sandt,"CC5600/1 - Honors American Studies, MTWFR, Per. 2,3 (FY)",English,83,"Rooney, Wayne",11,,"Petzold, Alexa",91.16%,A-,90.59,A-
Haveron / Sandt,"CC5600/1 - Honors American Studies, MTWFR, Per. 2,3 (FY)",English,173,"Corden, James",11,,"Schneider, Cristina",83.78%,B,83.19,B
Haveron / Sandt,"CC5600/1 - Honors American Studies, MTWFR, Per. 2,3 (FY)",English,180,"Arjona, Ricardo",11,,"Schneider, Cristina",96.09%,A,95.92,A
Haveron / Sandt,"CC5600/1 - Honors American Studies, MTWFR, Per. 2,3 (FY)",English,190,"Cooper, Anderson",11,,"Schneider, Cristina",92.91%,A,91.79,A-
Haveron / Sandt,"CC5600/1 - Honors American Studies, MTWFR, Per. 2,3 (FY)",English,191,"Turing, Alan",11,,"Schneider, Cristina",92.76%,A,92.2,A-
Haveron / Sandt,"CC5600/1 - Honors American Studies, MTWFR, Per. 2,3 (FY)",English,195,"Justice, Victoria",11,,"Schneider, Cristina",92.96%,A,92.65,A
Haveron / Sandt,"CC5600/1 - Honors American Studies, MTWFR, Per. 2,3 (FY)",English,208,"Andriana, Raisa",11,,"Schneider, Cristina",92.06%,A-,93.77,A
"Cohen, Jamie","CC8143/1 - Study Skills 9-12, MTRF, Per. 7 (FY)",Special Ed,55,"Mathers, Marshall",11,,"Petzold, Alexa",98.95%,A+,97.98,A+
"Cohen, Jamie","CC8143/1 - Study Skills 9-12, MTRF, Per. 7 (FY)",Special Ed,186,"Hemmings, Luke",11,,"Schneider, Cristina",94.21%,A,93.61,A
"Cohen, Jamie","CC8143/1 - Study Skills 9-12, MTRF, Per. 7 (FY)",Special Ed,207,"Montaner, Ricardo",11,,"Schneider, Cristina",94.21%,A,91.61,A-
"Schwartzman, Brooke","CC8143/6 - Study Skills 9-12, MTWR, Per. 5 (FY)",Special Ed,32,"Crowe, Cameron",11,,"Howard, Jenna",90.14%,A-,93.43,A
"Schwartzman, Brooke","CC8143/6 - Study Skills 9-12, MTWR, Per. 5 (FY)",Special Ed,89,"Aguilera, Christina",11,,"Schneider, Cristina",97.01%,A,94.87,A
"Schwartzman, Brooke","CC8143/6 - Study Skills 9-12, MTWR, Per. 5 (FY)",Special Ed,103,"Knowles, Beyoncé",11,,"Casamento, Steven P",100%,A+,98.44,A+
